address,property_type,parking_spaces,land_size,building_size,num_bedrooms,num_bathrooms,price
"Callejon Pastor Roux 217, Obrera 1a Secc., Tijuana, Baja California, Tijuana, Baja California 22624",House,2,"2,152.78 sq ft",2,2,1,"USD $106,727"
"Hidalgo 0, Hidalgo, Tijuana, Baja California, Tijuana, Baja California 22056",Unit,,,"3,444.45 sq ft",1,1,"USD $625,000"
"17451 Benito Juárez, Tijuana, Baja California 22180",Apartment,1,"2,045.14 sq ft",990.28 sq ft,2,2,"USD $153,454"
"Callejon Pastor Roux 217, Obrera 1a Secc., Tijuana, Baja California, Tijuana, Baja California 22624",House,2,"24,567.76 sq ft","2,152.78 sq ft",3,2,"USD $106,727"
"Del ocasio 0, Hacienda Las Delicias, Tijuana, Baja California, Tijuana, Baja California 22163",Unit,2,,,2,2,"USD $111,578"
"Cholula 1461, Baja Malibu Secc. Lomas, Tijuana, Baja California, Tijuana, Baja California 22566",House,3,,,2,3,"USD $340,000"
"Prol. Huajicori 15, Cañón de La Raza, Tijuana, Baja California, Tijuana, Baja California 22224",Land,,"3,986.52 sq ft",,,,"USD $38,000"
"PDA. LA HERRADURA COL. EL SALADO 7075, Cañón el Salado, Tijuana, Baja California, Tijuana, Baja California 22116",Land,,"11,086.83 sq ft",,,,"USD $240,000"
"La Quemada 11506, Lomas de La Presa, Tijuana, Baja California, Tijuana, Baja California 22125",House,2,,,2,1,"USD $130,983"
"Privada costa San Remo 1142, Costa Coronado Residencial, Tijuana, Baja California, Tijuana, Baja California 22516",House,4,,,3,5,"USD $600,000"
"Lago Balkash 5409, El Lago, Tijuana, Baja California, Tijuana, Baja California 22210",Unit,1,,,1,1,"USD $87,322"
"Calle chichimecas 9641, Mariano Matamoros (Centro), Tijuana, Baja California, Tijuana, Baja California 22234",Land,,"1,722.23 sq ft",,,,"USD $55,000"
"AV. EJIDO JALAPA Y ROSARITO 20801, Buenos Aires Norte, Tijuana, Baja California, Tijuana, Baja California 22200",House,2,,,2,1,"USD $150,000"
"Cumbres de Juárez 0, Cumbres de Juárez, Tijuana, Baja California, Tijuana, Baja California 22046",Land,,"4,574.66 sq ft",,,,"USD $475,000"
"Ave Television 10001-11, Juárez, Tijuana, Baja California, Tijuana, Baja California 22040",Unit,1,,796.53 sq ft,,1,"USD $195,000"
"Carretera Tecate a Ensenada km 102 km 100, El Sauzal, Tijuana, Baja California, Tijuana, Baja California 22750",Unit,2,,,2,2,"USD $208,554"
"Carretera La Bufadora S/N, La Bufadora, Tijuana, Baja California, Tijuana, Baja California 22897",Unit,50,,,20,11,"USD $1,164,291"
"Paseo Guaycura 20726, Ampliación Guaycura, Tijuana, Baja California, Tijuana, Baja California 22214",Other,,"2,552.45 sq ft",,,,"USD $325,000"
"PASEO GUAYCURA 4412, Ampliación Guaycura, Tijuana, Baja California, Tijuana, Baja California 22214",Other,,"2,918.10 sq ft",,,,"USD $325,000"
"avenida revolucion 22, Zona Centro, Tijuana, Baja California, Tijuana, Baja California 22000",Unit,2,,,2,2,"USD $310,000"
"PUERTA DE HIERRO 22024, Puerta De Hierro, Tijuana, Baja California, Tijuana, Baja California 22024",House,4,,,3,8,"USD $1,600,000"
"Monte blanco 19232, Loma Dorada, Tijuana, Baja California, Tijuana, Baja California 22214",House,5,,,4,4,"USD $727,682"
"Calle Río Grande 1000, Corona del Mar, Tijuana, Baja California, Tijuana, Baja California 22544",House,2,,,2,3,"USD $250,000"
"PRIVADA DEL PACIFICO II 0, Panamericano, Tijuana, Baja California, Tijuana, Baja California 22647",House,1,,,3,2,"USD $113,033"
"Fresnillo 2360, Madero (Cacho), Tijuana, Baja California, Tijuana, Baja California 22040",Other,3,"4,596.19 sq ft",,,,"USD $730,000"
"Piedrera 33b, Cañón de La Pedrera, Tijuana, Baja California, Tijuana, Baja California 22035",Unit,2,,,3,3,"USD $133,408"
"Blvd. ASTI 12802, Residencial San Marino, Tijuana, Baja California, Tijuana, Baja California 22567",House,,,"2,690.98 sq ft",4,3,"USD $293,000"
"La Joya 1, Santa Fe, Tijuana, Baja California, Tijuana, Baja California 22117",House,2,,,3,3,"USD $225,581"
"Vistas de Santa Fe Residencial 5051, Costa Dorada, Tijuana, Baja California, Tijuana, Baja California 22667",House,2,,,3,3,"USD $160,090"
"Residencial Montebello 0, Terrazas de La Presa, Tijuana, Baja California, Tijuana, Baja California 22124",House,1,,,2,2,"USD $98,571"
"20 DE LA MANZANA 3A. 205, Zona Centro, Tijuana, Baja California, Tijuana, Baja California 22000",Unit,1,,,1,1,"USD $203,751"
"Privada Cipreces 0, Chapultepec, Tijuana, Baja California, Tijuana, Baja California 22020",House,2,,,3,4,"USD $300,775"
